instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/Phobos2/Ephemeris,Phobos 2,Ephemeris,Phobos2 Positions,Phobos 2 ephemeris data set providing spacecraft position and trajectory information
spase://SMWG/Instrument/Pioneer10/MAG,Pioneer Spacecraft Series,MAG,Magnetic Fields,Pioneer 10/11 MAG triaxial helium vector magnetometer measuring interplanetary magnetic fields
spase://SMWG/Instrument/Pioneer10/PLS,Pioneer Spacecraft Series,PLS,Quadrispherical Plasma Analyzer,Pioneer PLS quadrispherical electrostatic plasma analyzer measuring ion and electron distribution functions and plasma parameters
spase://SMWG/Instrument/Pioneer10/Ephemeris,Pioneer Spacecraft Series,Ephemeris,Pioneer10 Positions,Pioneer 10 ephemeris data set providing spacecraft position and trajectory information
spase://SMWG/Instrument/Pioneer11/MAG1,Pioneer 11,MAG1,Magnetic Fields,Pioneer 11 triaxial helium magnetometer measuring interplanetary magnetic field vectors
spase://SMWG/Instrument/Pioneer11/PLS,Pioneer 11,PLS,Quadrispherical Plasma Analyzer,Pioneer 11 PLS quadrispherical electrostatic plasma analyzer measuring solar wind ion and electron distribution functions
spase://SMWG/Instrument/Pioneer11/Ephemeris,Pioneer 11,Ephemeris,Pioneer11 Positions,Pioneer 11 ephemeris data product providing spacecraft position and trajectory information
spase://SMWG/Instrument/PioneerVenusOrbiter/OMAG,Pioneer Venus Orbiter,OMAG,Magnetometer (OMAG),Pioneer Venus Orbiter OMAG triaxial fluxgate magnetometer measuring vector magnetic fields near Venus
spase://SMWG/Instrument/PioneerVenusOrbiter/ORPA,Pioneer Venus Orbiter,ORPA,Retarding Potential Analyzer (ORPA),"Pioneer Venus Orbiter ORPA retarding potential analyzer/Langmuir probe measuring ion and electron densities, temperatures, ion drift velocities, and photoelectron energy distributions"
spase://SMWG/Instrument/PioneerVenusOrbiter/Ephemeris,Pioneer Venus Orbiter,Ephemeris,PVO Positions,Pioneer Venus Orbiter ephemeris/position data providing spacecraft trajectory and location information
spase://SMWG/Instrument/PioneerVenusOrbiter/OPA,Pioneer Venus Orbiter,OPA,Solar Wind Plasma Analyzer (OPA),Pioneer Venus Orbiter OPA quadrispherical electrostatic analyzer measuring solar wind ion and electron energy-per-charge distributions
spase://SMWG/Instrument/POLAR/HYDRA,POLAR,HYDRA,Hot Plasma Analyzer (Hydra),POLAR HYDRA electrostatic plasma analyzer measuring three-dimensional ion and electron distributions in the magnetosphere
spase://SMWG/Instrument/POLAR/EFI,POLAR,EFI,Electric Fields Investigation (EFI),Polar EFI double-sphere electric field instrument measuring DC and AC electric fields in the high-latitude magnetosphere
spase://SMWG/Instrument/POLAR/Ephemeris,POLAR,Ephemeris,POLAR Orbit,POLAR spacecraft ephemeris providing orbital position and attitude information
spase://SMWG/Instrument/POLAR/CAMMICE,POLAR,CAMMICE,Charge and Mass Magnetospheric Ion Composition Experiment (CAMMICE),"POLAR CAMMICE energetic particle instrument measuring magnetospheric ion composition, charge state, and energy spectra"
spase://SMWG/Instrument/POLAR/PWI,POLAR,PWI,Polar Plasma Waves Investigation (PWI),POLAR PWI plasma wave receiver measuring electromagnetic and electrostatic plasma waves and density fluctuations
spase://SMWG/Instrument/POLAR/TIDE,POLAR,TIDE,Thermal Ion Dynamics Experiment (TIDE),POLAR TIDE thermal ion mass spectrometer measuring low-energy ion distribution functions in the magnetosphere
spase://SMWG/Instrument/POLAR/TIMAS,POLAR,TIMAS,Toroidal Imaging Mass-Angle Spectrograph (TIMAS),"POLAR TIMAS toroidal ion mass-angle spectrograph measuring suprathermal ion composition, mass, energy, and arrival direction in the magnetosphere"
spase://SMWG/Instrument/POLAR/CAMMICE-MICS,POLAR,CAMMICE-MICS,Charge and Mass Magnetospheric Ion Composition Experiment (CAMMICE),"Polar CAMMICE/MICS energetic ion composition spectrometer measuring magnetospheric ion charge state, mass, and energy-per-charge"
spase://SMWG/Instrument/POLAR/CEPPAD,POLAR,CEPPAD,Comprehensive Energetic-Particle Pitch-Angle Distribution (CEPPAD),"Polar CEPPAD energetic particle analyzers measuring pitch-angle distributions, energy spectra, and composition of electrons and ions"
spase://SMWG/Instrument/POLAR/MFE,POLAR,MFE,POLAR Magnetic Fields Experiment (MFE),POLAR MFE dual triaxial fluxgate magnetometer measuring three-axis vector magnetic fields
spase://SMWG/Instrument/POLAR/UVI,POLAR,UVI,Ultraviolet Imager (UVI),Polar UVI ultraviolet imager capturing global auroral emissions at selected ultraviolet wavelengths
spase://SMWG/Instrument/POLAR/VIS,POLAR,VIS,Visible Imaging System (VIS),POLAR VIS visible imager obtaining high-time-resolution images of nighttime auroral and polar emissions
spase://SMWG/Instrument/ParkerSolarProbe/Ephemeris,Parker Solar Probe,Ephemeris,Ephemeris,Parker Solar Probe spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/MAG,Parker Solar Probe,MAG,FIELDS,Parker Solar Probe FIELDS/MAG fluxgate magnetometers measuring three-axis magnetic field vectors
spase://SMWG/Instrument/ParkerSolarProbe/SWEAP/SPC,Parker Solar Probe,SPC,SWEAP,"Parker Solar Probe SWEAP/SPC Faraday cup measuring solar wind ion fluxes, velocity distributions, and proton temperature near the Sun"
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/DFB,Parker Solar Probe,DFB,FIELDS,Parker Solar Probe FIELDS/DFB digital fields board processing electric-field and search-coil magnetic-field waveforms from DC to ~60 kHz
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V1,Parker Solar Probe,V1,FIELDS,Parker Solar Probe FIELDS V1 voltage probe antenna measuring DC and AC electric fields in the solar wind
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V2,Parker Solar Probe,V2,FIELDS,Parker Solar Probe FIELDS V2 voltage probe antenna measuring DC and AC electric fields in the near-Sun solar wind
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V3,Parker Solar Probe,V3,FIELDS,Parker Solar Probe FIELDS V3 electric field antenna measuring spacecraft voltage and plasma density fluctuations
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V4,Parker Solar Probe,V4,FIELDS,Parker Solar Probe FIELDS V4 voltage probe antenna measuring electric field fluctuations and spacecraft potential
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/SCM,Parker Solar Probe,SCM,FIELDS,Parker Solar Probe FIELDS/SCM search-coil magnetometer measuring three-axis AC magnetic field fluctuations in the solar wind
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V5,Parker Solar Probe,V5,FIELDS,Parker Solar Probe FIELDS V5 voltage probe antenna measuring electric field fluctuations in the solar wind
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS,Parker Solar Probe,FIELDS,FIELDS,"Parker Solar Probe FIELDS electric field antennas and search-coil/fluxgate magnetometers measuring in-situ electric and magnetic fields, plasma waves, and radio emissions"
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/FIELDS2/TDS,Parker Solar Probe,TDS,FIELDS,Parker Solar Probe FIELDS/TDS time-domain sampler measuring burst waveforms of electric and magnetic field fluctuations
spase://SMWG/Instrument/ParkerSolarProbe/SWEAP,Parker Solar Probe,SWEAP,SWEAP,"Parker Solar Probe SWEAP plasma analyzers measuring solar wind electrons, protons, and alpha particles, including their velocity distributions, density, and temperature"
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/RFS/HFR,Parker Solar Probe,HFR,FIELDS,Parker Solar Probe FIELDS/RFS-HFR radio frequency spectrometer measuring high-frequency radio emissions and electrostatic fluctuations
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/RFS/LFR,Parker Solar Probe,LFR,FIELDS,Parker Solar Probe FIELDS/RFS-LFR low-frequency radio spectrometer measuring radio-wave spectra and electrostatic fluctuations
spase://SMWG/Instrument/ParkerSolarProbe/ISOIS/EPI-Hi/HET,Parker Solar Probe,HET,ISOIS,Parker Solar Probe ISOIS/EPI-Hi HET energetic particle telescope measuring high-energy ions and electrons
spase://SMWG/Instrument/ParkerSolarProbe/ISOIS/EPI-Hi/LET1,Parker Solar Probe,LET1,ISOIS,Parker Solar Probe ISOIS/EPI-Hi LET1 energetic particle telescope measuring suprathermal and energetic ions and electrons
spase://SMWG/Instrument/ParkerSolarProbe/ISOIS/EPI-Hi/LET2,Parker Solar Probe,LET2,ISOIS,Parker Solar Probe ISOIS/EPI-Hi LET2 energetic particle telescope measuring suprathermal and energetic ions and electrons
spase://SMWG/Instrument/ParkerSolarProbe/ISOIS/EPI-Lo,Parker Solar Probe,EPI-Lo,ISOIS,Parker Solar Probe ISOIS/EPI-Lo energetic particle instrument measuring low-energy ions and electrons for solar energetic particle observations
spase://SMWG/Instrument/ParkerSolarProbe/SWEAP/SPAN-A,Parker Solar Probe,SPAN-A,SWEAP,Parker Solar Probe SWEAP/SPAN-A electrostatic analyzer measuring solar wind ion velocity distribution functions including protons and alpha particles
spase://SMWG/Instrument/ParkerSolarProbe/SWEAP/SPAN-B,Parker Solar Probe,SPAN-B,SWEAP,Parker Solar Probe SWEAP/SPAN-B electrostatic analyzer measuring solar wind ion velocity distribution functions
spase://SMWG/Instrument/RBSP/A/RBSPICE,Radiation Belt Storm Probe Satellite,RBSPICE,Radiation Belt Storm Probes Ion Composition Experiment (RBSPICE),RBSP-A RBSPICE energetic particle spectrometer measuring ring-current ion composition and energetic particle populations
spase://SMWG/Instrument/RBSP/A/Ephemeris,Radiation Belt Storm Probe Satellite,Ephemeris,RBSP A Positions,RBSP-A ephemeris providing spacecraft position vectors in multiple geocentric coordinate systems
spase://SMWG/Instrument/RBSP/A/EMFISIS,Radiation Belt Storm Probe Satellite,EMFISIS,Electric and Magnetic Field Instrument Suite and Integrated Science (EMFISIS),RBSP-A EMFISIS electric and magnetic field suite with fluxgate and search-coil magnetometers measuring DC and wave magnetic fields in the radiation belts
spase://SMWG/Instrument/RBSP/B/RBSPICE,Radiation Belt Storm Probe Satellite,RBSPICE,Radiation Belt Storm Probes Ion Composition Experiment (RBSPICE),RBSP-B RBSPICE energetic particle spectrometer measuring ring current ion composition and energetic particle distributions
spase://SMWG/Instrument/RBSP/B/Ephemeris,Radiation Belt Storm Probe Satellite,Ephemeris,RBSP B Positions,RBSP-B ephemeris spacecraft position data for the Radiation Belt Storm Probe mission
spase://SMWG/Instrument/RBSP/B/EMFISIS,Radiation Belt Storm Probe Satellite,EMFISIS,Electric and Magnetic Field Instrument Suite and Integrated Science (EMFISIS),RBSP-B EMFISIS electric and magnetic field instrument suite with fluxgate and search-coil magnetometers measuring DC to VLF magnetic fields and plasma waves
spase://SMWG/Instrument/RBSP/A/EFW,Radiation Belt Storm Probe Satellite,EFW,Electric Field and Waves Suite (EFW),RBSP-A EFW electric field and waves instrument measuring DC/AC electric fields and spacecraft potential-derived plasma density
spase://SMWG/Instrument/RBSP/A/RPS,Radiation Belt Storm Probe Satellite,RPS,Relativistic Proton Spectrometer (RPS),RBSP-A RPS relativistic proton spectrometer measuring inner Van Allen belt trapped protons from 50 MeV to 2 GeV
spase://SMWG/Instrument/RBSP/A/ECT,Radiation Belt Storm Probe Satellite,ECT,"Energetic Particle, Composition and Thermal Plasma Suite (ECT)","RBSP-A ECT energetic particle and plasma suite measuring radiation belt electrons, ions, composition, and pitch-angle distributions"
spase://SMWG/Instrument/RBSP/B/EFW,Radiation Belt Storm Probe Satellite,EFW,Electric Field and Waves Suite (EFW),RBSP-B EFW electric field and wave instrument measuring DC/AC electric fields and spacecraft potential in the inner magnetosphere
spase://SMWG/Instrument/RBSP/B/RPS,Radiation Belt Storm Probe Satellite,RPS,Relativistic Proton Spectrometer (RPS),RBSP-B RPS relativistic proton spectrometer measuring inner Van Allen belt trapped protons from 50 MeV to 2 GeV
spase://SMWG/Instrument/RBSP/B/ECT,Radiation Belt Storm Probe Satellite,ECT,"Energetic Particle, Composition and Thermal Plasma Suite (ECT)","RBSP-B ECT energetic particle and plasma suite measuring electron and ion energy, composition, and pitch-angle distributions"
spase://SMWG/Instrument/RENU2/COWBOY,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",COWBOY,"RENU2, COrnell Wire BOom Yo-yo, COWBOY, Instrument","RENU2 COWBOY long-wire electric field booms measuring DC, HF, and VLF electric fields and wave activity"
spase://SMWG/Instrument/RENU2/EPLAS,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",EPLAS,"RENU2, Electron Plasma, EPLAS, Top Hat Analyzer",RENU2 EPLAS top-hat electrostatic analyzer measuring electron energy distributions from 10 eV to 15 keV
spase://SMWG/Instrument/RENU2/ERPA,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",ERPA,"RENU2, Electron Retarding Potential Analyzer, ERPA, Instrument",RENU2 ERPA electrostatic retarding potential analyzer measuring thermal electron energy distributions from 0 to 3 eV
spase://SMWG/Instrument/RENU2/FGM,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",FGM,"RENU2, Fluxgate Science Magnetometer, FGM, Instrument",RENU2 fluxgate magnetometer measuring vector magnetic fields along the sounding rocket trajectory
spase://SMWG/Instrument/RENU2/IG2,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",IG2,"RENU2, Anelva Ion Gauge, IG2, Instrument","RENU2 Anelva ion gauge measuring neutral particle density, primarily atomic oxygen number density, along the sounding rocket trajectory"
spase://SMWG/Instrument/RENU2/PMT,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",PMT,"RENU2, Photomultiplier Tubes, PMT",RENU2 photomultiplier tubes measuring auroral optical emissions at 557.7 and 630.0 nm
spase://SMWG/Instrument/RENU2/UVPMT,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",UVPMT,"RENU2, Ultraviolet Photomultiplier Tube, UVPMT, Instrument",RENU2 ultraviolet photomultiplier tube measuring 130.4 nm far-ultraviolet auroral emissions
spase://SMWG/Instrument/Rosetta/Ephemeris,Rosetta,Ephemeris,Rosetta Positions,Rosetta spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/ROCSAT-1/IPEI,ROCSAT-1,IPEI,"ROCSAT1,IPEI, Ionospheric Plasma and Electrodynamics Instrument","ROCSAT-1 IPEI ion drift meter, retarding potential analyzer, and ion trap measuring ionospheric plasma density, composition, temperature, and drift velocities"
spase://SMWG/Instrument/Sakigake/Ephemeris,Sakigake,Ephemeris,Sakigake Positions,Sakigake ephemeris providing spacecraft position and trajectory data
spase://SMWG/Instrument/SESAME/AIS,SESAME,AIS,SESAME Advanced Ionospheric Sounder,"SESAME AIS advanced ionospheric sounder measuring ionospheric radio echo time-of-flight, amplitude, and phase versus frequency"
spase://SMWG/Instrument/SESAME/FPI,SESAME,FPI,SESAME Fabry-Perot Interferometer,SESAME Fabry-Perot interferometer measuring Doppler shifts of thermospheric oxygen airglow emissions
spase://SMWG/Instrument/SESAME/MAG,SESAME,MAG,SESAME Magnetometer,"SESAME MAG fluxgate magnetometer measuring H, D, and Z components of the Earth's magnetic field"
spase://SMWG/Instrument/SESAME/RIO,SESAME,RIO,SESAME Riometer,SESAME RIO riometer measuring cosmic radio noise absorption and ionospheric opacity in four look directions
spase://SMWG/Instrument/SESAME/VLF-ELF,SESAME,VLF-ELF,SESAME VELOX,SESAME VELOX VLF-ELF waveform receiver measuring 0.5–30 kHz magnetospheric plasma waves and whistler-mode radio emissions
spase://SMWG/Instrument/SNOE/UVS,Student Nitric Oxide Explorer (SNOE),UVS,Student Nitric Oxide Explorer (SNOE) Ultraviolet Spectrometer (UVS),SNOE UVS ultraviolet spectrometer measuring thermospheric nitric oxide density from gamma-band airglow observations
spase://SMWG/Instrument/SOHO/Ephemeris,Solar and Heliospheric Observatory,Ephemeris,SOHO Positions,SOHO ephemeris providing spacecraft position and pointing information
spase://SMWG/Instrument/SolarOrbiter/Ephemeris,Solar Orbiter Spacecraft,Ephemeris,Solar Orbiter Positions,Solar Orbiter spacecraft ephemeris providing spacecraft position and trajectory data
spase://SMWG/Instrument/ST5-094/Ephemeris,ST5-094,Ephemeris,ST5-094 Positions,ST5-094 ephemeris providing spacecraft position vectors in multiple coordinate systems
spase://SMWG/Instrument/ST5-155/Ephemeris,ST5 Mission,Ephemeris,ST5-155 Positions,ST5-155 ephemeris providing spacecraft position vectors in multiple coordinate systems
spase://SMWG/Instrument/ST5-224/Ephemeris,ST5-224,Ephemeris,ST5-224 Positions,ST5-224 ephemeris spacecraft position data in multiple coordinate systems
spase://SMWG/Instrument/STEREO-A/Ephemeris,STEREO Mission,Ephemeris,STEREO-A Position,STEREO-A spacecraft ephemeris providing position in multiple heliospheric coordinate systems
spase://SMWG/Instrument/STEREO-A/IMPACT,STEREO Mission,IMPACT,STEREO-A IMPACT,"STEREO-A IMPACT in-situ fields and particles suite measuring magnetic fields, solar wind electrons, and energetic particles"
spase://SMWG/Instrument/STEREO-A/PLASTIC,STEREO Mission,PLASTIC,Plasma and Supra-Thermal Ion Composition (PLASTIC) Investigation,"STEREO-A PLASTIC ion composition spectrometer measuring solar wind and suprathermal ion composition, charge state, energy spectra, and angular distributions"
spase://SMWG/Instrument/STEREO-A/IMPACT/HET,STEREO Mission,HET,STEREO-A IMPACT,"STEREO-A IMPACT/HET high-energy particle telescope measuring energetic electrons, protons, and helium ions"
spase://SMWG/Instrument/STEREO-A/IMPACT/MAG,STEREO Mission,MAG,STEREO-A IMPACT,STEREO-A IMPACT/MAG fluxgate magnetometer measuring in-situ three-axis magnetic field vectors
spase://SMWG/Instrument/STEREO-A/IMPACT/STE,STEREO Mission,STE,STEREO-A IMPACT,STEREO-A IMPACT/STE suprathermal electron telescope measuring 2–20 keV electrons in the solar wind and CME/flare-accelerated populations
spase://SMWG/Instrument/STEREO-A/IMPACT/SWEA,STEREO Mission,SWEA,STEREO-A IMPACT,STEREO-A IMPACT/SWEA electron electrostatic analyzer measuring solar wind core and halo electron distribution functions from below 1 eV to several keV
spase://SMWG/Instrument/STEREO-A/SWAVES,STEREO Mission,SWAVES,STEREO-A Waves (SWAVES),STEREO-A SWAVES radio and plasma wave instrument measuring solar radio bursts and in situ plasma waves
spase://SMWG/Instrument/STEREO-A/IMPACT/LET,STEREO Mission,LET,STEREO-A IMPACT,"STEREO-A IMPACT/LET low-energy particle telescope measuring elemental composition, energy spectra, and angular distributions of solar energetic ions from H to Ni"
spase://SMWG/Instrument/STEREO-A/IMPACT/SEPT,STEREO Mission,SEPT,STEREO-A IMPACT,STEREO-A IMPACT/SEPT solid-state particle telescope measuring suprathermal electrons and ions with anisotropy in the heliosphere
spase://SMWG/Instrument/STEREO-A/IMPACT/SIT,STEREO Mission,SIT,STEREO-A IMPACT,STEREO-A IMPACT/SIT time-of-flight ion mass spectrometer measuring suprathermal He-Fe ion composition from ~30 keV/n to 2 MeV/n
spase://SMWG/Instrument/STEREO-B/Ephemeris,STEREO Mission,Ephemeris,STEREO-B Position,STEREO-B spacecraft ephemeris providing position in multiple heliospheric coordinate systems
spase://SMWG/Instrument/STEREO-B/IMPACT,STEREO Mission,IMPACT,STEREO-B IMPACT,"STEREO-B IMPACT in-situ fields and particles suite measuring magnetic fields, solar wind electrons, and energetic particles"
spase://SMWG/Instrument/STEREO-B/IMPACT/HET,STEREO Mission,HET,STEREO-B IMPACT,"STEREO-B IMPACT/HET high-energy particle telescope measuring energetic electrons, protons, and helium ions"
spase://SMWG/Instrument/STEREO-B/IMPACT/MAG,STEREO Mission,MAG,STEREO-B IMPACT,STEREO-B IMPACT/MAG fluxgate magnetometer measuring in-situ three-axis magnetic fields
spase://SMWG/Instrument/STEREO-B/IMPACT/STE,STEREO Mission,STE,STEREO-B IMPACT,STEREO-B IMPACT/STE suprathermal electron telescope measuring 2–20 keV electrons in the solar wind and CME/flare-accelerated populations
spase://SMWG/Instrument/STEREO-B/IMPACT/SWEA,STEREO Mission,SWEA,STEREO-B IMPACT,STEREO-B IMPACT/SWEA electron electrostatic analyzer measuring solar wind core and halo electron distributions from sub-eV to several keV
spase://SMWG/Instrument/STEREO-B/PLASTIC,STEREO Mission,PLASTIC,Plasma and Supra-Thermal Ion Composition (PLASTIC) Investigation,"STEREO-B PLASTIC ion composition spectrometer measuring solar wind and suprathermal ion composition, energy spectra, and directional distributions"
spase://SMWG/Instrument/STEREO-B/SWAVES,STEREO Mission,SWAVES,STEREO-B Waves (SWAVES),STEREO-B SWAVES radio and plasma wave instrument measuring solar radio bursts and in situ plasma waves
spase://SMWG/Instrument/STEREO-B/IMPACT/LET,STEREO Mission,LET,STEREO-B IMPACT,"STEREO-B IMPACT/LET low-energy particle telescope measuring solar energetic ion composition, spectra, angular distributions, and arrival times from H to Ni ions"
spase://SMWG/Instrument/STEREO-B/IMPACT/SEPT,STEREO Mission,SEPT,STEREO-B IMPACT,STEREO-B IMPACT/SEPT particle telescope measuring suprathermal electrons and protons with anisotropy information
spase://SMWG/Instrument/STEREO-B/IMPACT/SIT,STEREO Mission,SIT,STEREO-B IMPACT,STEREO-B IMPACT/SIT time-of-flight ion mass spectrometer measuring suprathermal He-Fe ion composition from ~30 keV/n to 2 MeV/n
spase://SMWG/Instrument/Suisei/Ephemeris,Suisei,Ephemeris,Suisei Positions,Suisei spacecraft ephemeris providing spacecraft position and trajectory information
spase://SMWG/Instrument/SAMPEX/MAST,SAMPEX,MAST,Mass Spectrometer Telescope (MAST),"SAMPEX MAST energetic particle mass spectrometer telescope measuring elemental and isotopic composition of solar, anomalous, and galactic cosmic rays"
spase://SMWG/Instrument/SAMPEX/HILT,SAMPEX,HILT,Heavy Ion Large Telescope (HILT),"SAMPEX HILT energetic particle telescope measuring heavy ion charge, mass, and energy of cosmic rays and solar energetic particles"
spase://SMWG/Instrument/SAMPEX/PET,SAMPEX,PET,Proton-Electron Telescope (PET),"SAMPEX PET proton-electron telescope measuring energetic electrons, protons, helium, and heavy ions"
spase://SMWG/Instrument/SAMPEX/LICA,SAMPEX,LICA,Low-Energy Ion Composition Analyzer (LICA),SAMPEX LICA energetic ion composition analyzer measuring 0.5–5 MeV nucleon solar and magnetospheric ions from He to Ni
spase://SMWG/Instrument/THEMIS/A/Ephemeris,THEMIS,Ephemeris,THEMIS-A Probe Status,THEMIS-A ephemeris data providing spacecraft position and trajectory for the THEMIS probe
spase://SMWG/Instrument/THEMIS/A/EFI,THEMIS,EFI,THEMIS-A Electric Field Instrument,THEMIS-A EFI double-probe electric field instrument measuring three-component ambient vector electric fields and waves
spase://SMWG/Instrument/THEMIS/A/ESA,THEMIS,ESA,THEMIS-A Electrostatic Analyzers,"THEMIS-A ESA electrostatic analyzers measuring 3D thermal ion and electron distributions, density, velocity, and temperature"
spase://SMWG/Instrument/THEMIS/A/SCM,THEMIS,SCM,THEMIS-A: Search Coil Magnetometer,THEMIS-A SCM search-coil magnetometer measuring three-axis AC magnetic field fluctuations from 0.1 Hz to 4 kHz
spase://SMWG/Instrument/THEMIS/A/FGM,THEMIS,FGM,THEMIS-A Fluxgate Magnetometer,THEMIS-A FGM fluxgate magnetometer measuring three-axis magnetic field vectors and low-frequency fluctuations
spase://SMWG/Instrument/THEMIS/A/SST,THEMIS,SST,"THEMIS-A:  Solid State Telescope (SST): Energy flux spectrogram, electron/ion ground-calculated fluxes (30 keV - 300 keV).",THEMIS-A SST solid state telescope measuring superthermal electron and ion fluxes from 30 to 300 keV
spase://SMWG/Instrument/THEMIS/A/MOM,THEMIS,MOM,"THEMIS-A:  On Board moments:  ESA and SST Electron/Ion moments density, flux, velocity, pressure and temperature.","THEMIS-A MOM onboard plasma moments processor deriving electron and ion density, flux, velocity, pressure, and temperature from ESA and SST data"
spase://SMWG/Instrument/THEMIS/B/Ephemeris,THEMIS,Ephemeris,THEMIS-B Probe Status,THEMIS-B ephemeris/probe status data providing spacecraft position and attitude for the THEMIS mission
spase://SMWG/Instrument/THEMIS/B/EFI,THEMIS,EFI,THEMIS-B Electric Field Instrument,THEMIS-B EFI double-probe electric field instrument measuring three-component ambient vector electric fields and waves
spase://SMWG/Instrument/THEMIS/B/ESA,THEMIS,ESA,THEMIS-B Electrostatic Analyzers,"THEMIS-B ESA electrostatic analyzers measuring 3D thermal ion and electron distributions, density, velocity, and temperature"
spase://SMWG/Instrument/THEMIS/B/SCM,THEMIS,SCM,THEMIS-B: Search Coil Magnetometer,THEMIS-B SCM search-coil magnetometer measuring three-axis AC magnetic field fluctuations from 0.1 Hz to 4 kHz
spase://SMWG/Instrument/THEMIS/B/FGM,THEMIS,FGM,THEMIS-B Fluxgate Magnetometer,THEMIS-B FGM fluxgate magnetometer measuring three-axis magnetic fields and low-frequency fluctuations
spase://SMWG/Instrument/THEMIS/B/SST,THEMIS,SST,"THEMIS-B:  Solid State Telescope (SST): Energy flux spectrogram, electron/ion ground-calculated fluxes (30 keV - 300 keV).",THEMIS-B SST solid state telescope measuring superthermal electron and ion fluxes from 30 to 300 keV
spase://SMWG/Instrument/THEMIS/B/MOM,THEMIS,MOM,"THEMIS-B:  On Board moments:  ESA and SST Electron/Ion moments density, flux, velocity, pressure and temperature.","THEMIS-B MOM onboard plasma moments processor deriving electron and ion density, flux, velocity, pressure, and temperature from ESA and SST data"
spase://SMWG/Instrument/THEMIS/C/Ephemeris,THEMIS,Ephemeris,THEMIS-C Probe Status,THEMIS-C ephemeris/probe status data providing spacecraft position and attitude for the THEMIS mission
spase://SMWG/Instrument/THEMIS/C/EFI,THEMIS,EFI,THEMIS-C Electric Field Instrument,THEMIS-C EFI double-probe electric field instrument measuring three-component ambient vector electric fields and waves
spase://SMWG/Instrument/THEMIS/C/ESA,THEMIS,ESA,THEMIS-C Electrostatic Analyzers,"THEMIS-C ESA electrostatic analyzers measuring 3-D thermal ion and electron distributions, density, velocity, and temperature"
spase://SMWG/Instrument/THEMIS/C/SCM,THEMIS,SCM,THEMIS-C: Search Coil Magnetometer,THEMIS-C SCM search-coil magnetometer measuring three-axis AC magnetic field fluctuations from 0.1 Hz to 4 kHz
spase://SMWG/Instrument/THEMIS/C/FGM,THEMIS,FGM,THEMIS-C Fluxgate Magnetometer,THEMIS-C FGM fluxgate magnetometer measuring three-axis DC magnetic field vectors and low-frequency fluctuations
spase://SMWG/Instrument/THEMIS/C/SST,THEMIS,SST,"THEMIS-C:  Solid State Telescope (SST): Energy flux spectrogram, electron/ion ground-calculated fluxes (30 keV - 300 keV).",THEMIS-C SST solid state telescope measuring superthermal electron and ion fluxes from 30 to 300 keV
spase://SMWG/Instrument/THEMIS/C/MOM,THEMIS,MOM,"THEMIS-C:  On Board moments:  ESA and SST Electron/Ion moments density, flux, velocity, pressure and temperature.","THEMIS-C MOM onboard plasma moments processor deriving electron and ion density, flux, velocity, pressure, and temperature from ESA and SST data"
spase://SMWG/Instrument/THEMIS/D/Ephemeris,THEMIS,Ephemeris,THEMIS-D Probe Status,THEMIS-D ephemeris data product providing spacecraft position and velocity for the THEMIS probe
spase://SMWG/Instrument/THEMIS/D/EFI,THEMIS,EFI,THEMIS-D Electric Field Instrument,THEMIS-D EFI double-probe electric field instrument measuring three-component ambient vector electric fields and waves
spase://SMWG/Instrument/THEMIS/D/ESA,THEMIS,ESA,THEMIS-D Electrostatic Analyzers,"THEMIS-D ESA electrostatic analyzers measuring 3D thermal ion and electron distributions, density, velocity, and temperature"
spase://SMWG/Instrument/THEMIS/D/SCM,THEMIS,SCM,THEMIS-D: Search Coil Magnetometer,THEMIS-D SCM search-coil magnetometer measuring three-axis AC magnetic field fluctuations from 0.1 Hz to 4 kHz
spase://SMWG/Instrument/THEMIS/D/FGM,THEMIS,FGM,THEMIS-D Fluxgate Magnetometer,THEMIS-D FGM fluxgate magnetometer measuring three-axis magnetic field vectors and low-frequency fluctuations
