instrument_code,mission_name,before_name,after_name,before_description,after_description,changed
spase://SMWG/Instrument/MMS/3/FIELDS/FGM,MMS,FGM,"MMS 3 FIELDS Suite, Fluxgate Magnetometer (FGM) Instrument","MMS 3 FIELDS Suite, Fluxgate Magnetometer (FGM) Instrument","Magnetometer: The Fluxgate Magnetometer (FGM) consists of two kinds of magnetometers, an Analog Fluxgate (AFG) and a Digital Fluxgate (DFG).",yes
spase://SMWG/Instrument/MMS/3/EnergeticParticleDetector/FEEPS,MMS,FEEPS,"MMS 3 Energetic Particle Detector (EPD) Suite, Fly's Eye Energetic Particle Sensor (FEEPS) Instrument","MMS 3 Energetic Particle Detector (EPD) Suite, Fly's Eye Energetic Particle Sensor (FEEPS) Instrument",EnergeticParticleInstrument: Fly's Eye Energetic Particle Sensor (FEEPS): The two FEEPS will measure three-dimensional energetic ion and electron flux distributions over the energy ranges ~25 keV to 500 keV (electrons) and ~45 keV to 500 keV (ions).,yes
spase://SMWG/Instrument/MMS/3/FastPlasmaInstrument/DES,MMS,DES,"MMS 3 Fast Plasma Instrument (FPI) Suite, Dual Electron Spectrometers (DES) Instrument","MMS 3 Fast Plasma Instrument (FPI) Suite, Dual Electron Spectrometers (DES) Instrument","ElectrostaticAnalyser: The Fast Plasma Investigation (FPI) is an instrument comprised of a suite of components consisting of multiple Dual Electron Spectrometers (DES), Dual Ion Spectrometers (DIS) and Instrument Data Processing Units (IDPU).",yes
spase://SMWG/Instrument/MMS/3/FastPlasmaInstrument/DIS,MMS,DIS,"MMS 3 Fast Plasma Instrument (FPI) Suite, Dual Ion Spectrometers (DIS) Instrument","MMS 3 Fast Plasma Instrument (FPI) Suite, Dual Ion Spectrometers (DIS) Instrument","ElectrostaticAnalyser: The Fast Plasma Investigation (FPI) is an instrument comprised of a suite of components consisting of multiple Dual Electron Spectrometers (DES), Dual Ion Spectrometers (DIS) and Instrument Data Processing Units (IDPU).",yes
spase://SMWG/Instrument/MMS/3/HotPlasmaCompositionAnalyzer,MMS,HotPlasmaCompositionAnalyzer,MMS 3 Hot Plasma Composition Analyzer (HPCA) Instrument,MMS 3 Hot Plasma Composition Analyzer (HPCA) Instrument,ParticleDetector: The Hot Plasma Composition Analyzer (HPCA) is based entirely on electrostatic optics combining an electrostatic energy analyzer with a carbon-foil based time-of-flight (TOF) analyzer.,yes
spase://SMWG/Instrument/MMS/3/Ephemeris,MMS,Ephemeris,MMS 3 Ephemeris,MMS 3 Ephemeris,Platform: MMS 3 spacecraft ephemeris virtual instrument.,yes
spase://SMWG/Instrument/MMS/4/InstrumentControl/ASPOC,MMS,ASPOC,MMS 4 Active Spacecraft Potential Control (ASPOC) Instrument,MMS 4 Active Spacecraft Potential Control (ASPOC) Instrument,"SpacecraftPotentialControl: The Active Spacecraft Potential Control (ASPOC) generates beams of indium ions to limit positive spacecraft potentials to within +4V in order to improve the measurements obtained by the follwinf MMS instruments: FPI, HPCA, ADP, and SDP.",yes
spase://SMWG/Instrument/MMS/4/FIELDS/DSP,MMS,DSP,"MMS 4 FIELDS Suite, Digital Signal Processor (DSP)","MMS 4 FIELDS Suite, Digital Signal Processor (DSP)","Unspecified: The Digital Signal Processing (DSP) units on the MMS spacecraft are designed to perform analog conditioning, analog-to-digital (A/D) conversion, and digital processing on the Axial Double-Probes (ADP), Spin-plane Double-Probes (SDP), and Search Coil Magnetometer (SCM).",yes
spase://SMWG/Instrument/MMS/4/FIELDS/SCM,MMS,SCM,"MMS 4 FIELDS Suite, Search Coil Magnetometer (SCM) Instrument","MMS 4 FIELDS Suite, Search Coil Magnetometer (SCM) Instrument",Magnetometer: Search Coil Magnetometer (SCM) measures the 3-axis AC magnetic field up to 6 kHz and will be used together with the ADP and SDP to determine the contribution of plasma waves to the turbulent dissipation that occurs in the diffusion region.,yes
spase://SMWG/Instrument/MMS/4/FIELDS/ADP,MMS,ADP,"MMS 4 FIELDS Suite, Axial Double Probe (ADP) Instrument","MMS 4 FIELDS Suite, Axial Double Probe (ADP) Instrument","DoubleSphere: MMS has two double-probe instruments, an Axial Double Probe (ADP) and a Spin-plane Double Probe (SDP).",yes
spase://SMWG/Instrument/MMS/4/FIELDS/SDP,MMS,SDP,"MMS 4 FIELDS Suite, Spin-plane Double Probe (SDP) Instrument","MMS 4 FIELDS Suite, Spin-plane Double Probe (SDP) Instrument","DoubleSphere: MMS has two double-probe instruments, a Spin-plane Double Probe (SDP) and an Axial Double Probe (ADP).",yes
spase://SMWG/Instrument/MMS/4/FIELDS/EDI,MMS,EDI,"MMS 4 FIELDS Suite, Electron Drift Instrument (EDI)","MMS 4 FIELDS Suite, Electron Drift Instrument (EDI)",ElectronDriftInstrument: Electron Drift Instrument (EDI) determines the electric and magnetic fields by measuring the drift of ~1 keV electrons emitted from the Gun Detector Unit (GDU).,yes
spase://SMWG/Instrument/MMS/4/EnergeticParticleDetector/EIS,MMS,EIS,"MMS 4 Energetic Particle Detector (EPD) Suite, Energetic Ion Spectrometer (EIS) Instrument","MMS 4 Energetic Particle Detector (EPD) Suite, Energetic Ion Spectrometer (EIS) Instrument",EnergeticParticleInstrument: Energetic Ion Spectrometer (EIS): EIS uses a time-of-flight/pulse-height sensor to provide ion composition measurements (protons vs.,yes
spase://SMWG/Instrument/MMS/4/FIELDS/FGM,MMS,FGM,"MMS 4 FIELDS Suite, Fluxgate Magnetometer (FGM) Instrument","MMS 4 FIELDS Suite, Fluxgate Magnetometer (FGM) Instrument","Magnetometer: The Fluxgate Magnetometer (FGM) consists of two kinds of magnetometers, an Analog Fluxgate (AFG) and a Digital Fluxgate (DFG).",yes
spase://SMWG/Instrument/MMS/4/EnergeticParticleDetector/FEEPS,MMS,FEEPS,"MMS 4 Energetic Particle Detector (EPD) Suite, Fly's Eye Energetic Particle Sensor (FEEPS) Instrument","MMS 4 Energetic Particle Detector (EPD) Suite, Fly's Eye Energetic Particle Sensor (FEEPS) Instrument",EnergeticParticleInstrument: Fly's Eye Energetic Particle Sensor (FEEPS): The two FEEPS will measure three-dimensional energetic ion and electron flux distributions over the energy ranges ~25 keV to 500 keV (electrons) and ~45 keV to 500 keV (ions).,yes
spase://SMWG/Instrument/MMS/4/FastPlasmaInstrument/DES,MMS,DES,"MMS 4 Fast Plasma Instrument (FPI) Suite, Dual Electron Spectrometers (DES) Instrument","MMS 4 Fast Plasma Instrument (FPI) Suite, Dual Electron Spectrometers (DES) Instrument","ElectrostaticAnalyser: The Fast Plasma Investigation (FPI) is an instrument comprised of a suite of components consisting of multiple Dual Electron Spectrometers (DES), Dual Ion Spectrometers (DIS) and Instrument Data Processing Units (IDPU).",yes
spase://SMWG/Instrument/MMS/4/FastPlasmaInstrument/DIS,MMS,DIS,"MMS 4 Fast Plasma Instrument (FPI) Suite, Dual Ion Spectrometers (DIS) Instrument","MMS 4 Fast Plasma Instrument (FPI) Suite, Dual Ion Spectrometers (DIS) Instrument","ElectrostaticAnalyser: The Fast Plasma Investigation (FPI) is an instrument comprised of a suite of components consisting of multiple Dual Electron Spectrometers (DES), Dual Ion Spectrometers (DIS) and Instrument Data Processing Units (IDPU).",yes
spase://SMWG/Instrument/MMS/4/HotPlasmaCompositionAnalyzer,MMS,HotPlasmaCompositionAnalyzer,MMS 4 Hot Plasma Composition Analyzer (HPCA) Instrument,MMS 4 Hot Plasma Composition Analyzer (HPCA) Instrument,ParticleDetector: The Hot Plasma Composition Analyzer (HPCA) is based entirely on electrostatic optics combining an electrostatic energy analyzer with a carbon-foil based time-of-flight (TOF) analyzer.,yes
spase://SMWG/Instrument/MMS/4/Ephemeris,MMS,Ephemeris,MMS 4 Ephemeris,MMS 4 Ephemeris,Platform: MMS 4 spacecraft ephemeris virtual instrument.,yes
spase://SMWG/Instrument/MarsScienceLaboratory/Ephemeris,"Mars Science Laboratory, MSL",Ephemeris,"Mars Science Laboratory, MSL, Positions","Mars Science Laboratory, MSL, Positions","Platform: Mars Science Laboratory, MSL, Spacecraft Ephemeris Virtual Instrument",yes
spase://SMWG/Instrument/Munin/MEDUSA,Munin Spacecraft,MEDUSA,Munin MEDUSA,Munin MEDUSA,"ElectrostaticAnalyser: Munin Spacecraft MEDUSA, Miniaturized Electrostatic DUal-tophat Spherical Analyser.",yes
spase://SMWG/Instrument/Munin/Ephemeris,Munin Spacecraft,Ephemeris,Munin Ephemeris,Munin Ephemeris,Platform: Munin Spacecraft Ephemeris Virtual Instrument,yes
spase://SMWG/Instrument/MAVEN/LPW,Mars Atmosphere and Volatile Evolution,LPW,"MAVEN Langmuir Probe and Waves, LPW, Instrument",MAVEN LPW,"LangmuirProbe: The Langmuir Probe and Waves, LPW, Instrument is designed to study Ionospheric Properties, Wave Heating of the Upper Atmosphere, and Solar Extreme Ultraviolet, EUV, Input to the Atmosphere.",yes
spase://SMWG/Instrument/MAVEN/LPW/EUV,Mars Atmosphere and Volatile Evolution,EUV,"MAVEN Langmuir Probe and Waves, LPW, Extreme Ultraviolet Monitor, EUV, Instrument",MAVEN LPW,"Photometer: The Extreme Ultraviolet, EUV, Monitor is an Instrument on the NASA Mars Atmosphere and Volatile EvolutioN, MAVEN, Mission, designed to measure the Variability of the Solar Soft X-rays and EUV Irradiance at Mars.",yes
spase://SMWG/Instrument/MAVEN/MAG,Mars Atmosphere and Volatile Evolution,MAG,"MAVEN Magnetometer, MAG, Instrument",MAVEN MAG,"Magnetometer: The MAVEN Magnetometer, MAG, Experiment will measure the Magnitude and Direction of the Interplanetary and Martian Induced and Ionospheric Magnetic Fields, as well as the regional Martian Crustal Magnetic Field.",yes
spase://SMWG/Instrument/MAVEN/NGIMS,Mars Atmosphere and Volatile Evolution,NGIMS,"MAVEN Neutral Gas and Ion Mass Spectrometer, NGIMS, Instrument",MAVEN NGIMS,"MassSpectrometer: The Neutral Gas and Ion Mass Spectrometer, NGIMS, is an In-situ Instrument designed to measure the Composition and Isotope Abundances of Thermal Neutral Atoms and Ions in the Martian Atmosphere below 500 km.",yes
spase://SMWG/Instrument/MAVEN/SEP,Mars Atmosphere and Volatile Evolution,SEP,"MAVEN Solar Energetic Particle, SEP, Instrument",MAVEN SEP,"SolidStateDetector: The Solar Energetic Particle, SEP, Instrument will characterize the Relationship between Solar Energetic Particle Events and Martian Atmospheric Escape.",yes
spase://SMWG/Instrument/MAVEN/STATIC,Mars Atmosphere and Volatile Evolution,STATIC,"MAVEN SupraThermal And Thermal Ion Composition, STATIC, Instrument",MAVEN STATIC,"ElectrostaticAnalyser: The SupraThermal And Thermal Ion Composition, STATIC, Instrument is designed to characterize Ions escaping from the Martian Atmosphere and the Processes of Escape, to determine the Composition of Thermal Ions to Energetic Ions, and the Energy Distributions and Pitch Angle Variations.",yes
spase://SMWG/Instrument/MAVEN/SWEA,Mars Atmosphere and Volatile Evolution,SWEA,"MAVEN Solar Wind Electron Analyzer, SWEA, Instrument",MAVEN SWEA,"ElectrostaticAnalyser: The Solar Wind Electron Analyzer, SWEA, is designed to measure the Energy and Angular Distribution of Solar Wind and Ionospheric Electrons.",yes
spase://SMWG/Instrument/MAVEN/SWIA,Mars Atmosphere and Volatile Evolution,SWIA,"MAVEN Solar Wind Ion Analyzer, SWIA, Instrument",MAVEN SWIA,"ElectrostaticAnalyser: The primary Goal of the Solar Wind Ion Analyzer, SWIA, is to measure the Solar Wind Ion Input to the Martian Atmosphere.",yes
spase://SMWG/Instrument/NewHorizons/SWAP,New Horizons,SWAP,"Solar Wind Around Pluto, SWAP","Solar Wind Around Pluto, SWAP","EnergeticParticleInstrument: The Solar Wind Around Pluto, SWAP, Instrument on New Horizons will measure the Interaction between the Solar Wind and Ions created by Atmospheric Loss from Pluto.",yes
spase://SMWG/Instrument/NOAA/5/SPM,NOAA 5,SPM,Solar Proton Monitor,Solar Proton Monitor,EnergeticParticleInstrument: This experiment was designed to continuously monitor directional fluxes of: (1) protons in five contiguous intervals between 0.,yes
spase://SMWG/Instrument/NOAA/6/SEM,NOAA 6,SEM,Space Environment Monitor (SEM),Space Environment Monitor (SEM),EnergeticParticleInstrument: The Space Environmental Monitor (SEM) was an extension of the solar proton monitoring experiment flown on the ITOS spacecraft series.,yes
spase://SMWG/Instrument/NOAA/7/SEM,NOAA 7,SEM,Space Environment Monitor (SEM),Space Environment Monitor (SEM),EnergeticParticleInstrument: The Space Environmental Monitor (SEM) experiment was an extension of the solar-proton monitoring experiment flown on the ITOS spacecraft series.,yes
spase://SMWG/Instrument/NOAA/8/SEM,NOAA 8,SEM,Space Environment Monitor (SEM),Space Environment Monitor (SEM),EnergeticParticleInstrument: The Space Environmental Monitor (SEM) experiment was an extension of the solar-proton monitoring experiment flown on the ITOS spacecraft series.,yes
spase://SMWG/Instrument/NOAA/10/SEM,NOAA 10,SEM,NOAA 10 Space Environmental Monitor,NOAA 10 Space Environmental Monitor,ParticleDetector: The Space Environmental Monitor (SEM) experiment on NOAA 10 is an extension of the solar-proton monitoring experiment flown on the ITOS spacecraft series.,yes
spase://SMWG/Instrument/NOAA/12/SEM,NOAA 12,SEM,Space Environment Monitor (SEM),Space Environment Monitor (SEM),EnergeticParticleInstrument: The Space Environmental Monitor (SEM) experiment is an extension of the solar-proton monitoring experiment flown on the ITOS spacecraft series.,yes
spase://SMWG/Instrument/NOAA/14/SEM,NOAA 14,SEM,Space Environmental Monitor (SEM),Space Environmental Monitor (SEM),EnergeticParticleInstrument: The Space Environmental Monitor (SEM) experiment was an extension of the solar-proton monitoring experiment (SPM) flown on the ITOS spacecraft series.,yes
spase://SMWG/Instrument/NOAA/15/SEM-2,NOAA 15,SEM-2,Space Environment Monitor-2 (SEM-2),Space Environment Monitor-2 (SEM-2),EnergeticParticleInstrument: The Space Environment Monitor-2 (SEM-2) on the Advanced TIROS-N (ATN) NOAA K-N series of polar orbiting meteorological satellites provides measurements to determine the population of the Earth's radiation belts and data on charged particle precipitation in the upper atmosphere as a result of solar activity.,yes
spase://SMWG/Instrument/NOAA/16/SEM-2,NOAA 16,SEM-2,Space Environment Monitor-2 (SEM-2),Space Environment Monitor-2 (SEM-2),EnergeticParticleInstrument: The Space Environment Monitor-2 (SEM-2) on the Advanced TIROS-N (ATN) NOAA K-N series of polar orbiting meteorological satellites provides measurements to determine the population of the Earth's radiation belts and data on charged particle precipitation in the upper atmosphere as a result of solar activity.,yes
spase://SMWG/Instrument/NOAA/18/SEM-2,NOAA 18,SEM-2,Space Environment Monitor-2 (SEM-2),Space Environment Monitor-2 (SEM-2),EnergeticParticleInstrument: The Space Environment Monitor-2 (SEM-2) on the Advanced TIROS-N (ATN) NOAA K-N series of polar orbiting meteorological satellites provides measurements to determine the population of the Earth's radiation belts and data on charged particle precipitation in the upper atmosphere as a result of solar activity.,yes
spase://SMWG/Instrument/NOAA/19/SEM-2,NOAA 19,SEM-2,Space Environment Monitor-2 (SEM-2),Space Environment Monitor-2 (SEM-2),EnergeticParticleInstrument: The Space Environment Monitor-2 (SEM-2) on the Advanced TIROS-N (ATN) NOAA K-N series of polar orbiting meteorological satellites provides measurements to determine the population of the Earth's radiation belts and data on charged particle precipitation in the upper atmosphere as a result of solar activity.,yes
spase://SMWG/Instrument/OMNI,OMNI,OMNI,OMNI Instrument,OMNI Instrument,"Magnetometer: The OMNI instrument is a virtual instrument representing the collection of Magnetometers, Electrostatic Analyers, and Energetic Particle instruments used in the creation of the OMNI datasets.",yes
spase://SMWG/Instrument/Wind/Ephemeris,Wind,Ephemeris,Wind Position,Wind Position,Platform: Wind spacecraft position in various coordinate systems,yes
spase://SMWG/Instrument/Wind/MFI,Wind,MFI,Wind Magnetic Field Investigation,Wind Magnetic Field Investigation,"Magnetometer: The magnetic field experiment on Wind provides data for studies of a broad range of scales of structures and fluctuation characteristics of the interplanetary magnetic field throughout the mission, and, where appropriate, relate them to the statics and dynamics of the magnetosphere.",yes
spase://SMWG/Instrument/Wind/SWE,Wind,SWE,Wind Solar Wind Experiment (SWE),Wind Solar Wind Experiment (SWE),"FaradayCup: This investigation is designed to provide complete, accurate specification of solar wind flow parameters in real time.",yes
spase://SMWG/Instrument/Phobos2/Ephemeris,Phobos 2,Ephemeris,Phobos2 Positions,Phobos2 Positions,Platform: Phobos2 Spacecraft Ephemeris Virtual Instrument,yes
spase://SMWG/Instrument/Pioneer10/MAG,Pioneer Spacecraft Series,MAG,Magnetic Fields,Magnetic Fields,"Magnetometer: The magnetometer on Pioneer 10 (also carried on Pioneer 11) is a triaxial helium magnetometer with seven dynamic ranges, from plus or minus 2.",yes
spase://SMWG/Instrument/Pioneer10/PLS,Pioneer Spacecraft Series,PLS,Quadrispherical Plasma Analyzer,Quadrispherical Plasma Analyzer,"QuadrisphericalAnalyser: The instrument consisted of dual 90-deg quadraspherical electrostatic analyzers, one with 26 individual particle detectors and the other with 5 current collectors.",yes
spase://SMWG/Instrument/Pioneer10/Ephemeris,Pioneer Spacecraft Series,Ephemeris,Pioneer10 Positions,Pioneer10 Positions,Platform: Pioneer10 spacecraft positions,yes
spase://SMWG/Instrument/Pioneer11/MAG1,Pioneer 11,MAG1,Magnetic Fields,Magnetic Fields,"Magnetometer: The magnetometer on Pioneer 11 was a triaxial helium magnetometer with seven dynamic ranges, from plus or minus 2.",yes
spase://SMWG/Instrument/Pioneer11/PLS,Pioneer 11,PLS,Quadrispherical Plasma Analyzer,Quadrispherical Plasma Analyzer,"QuadrisphericalAnalyser: The instrument consisted of dual 90-deg quadrispherical electrostatic analyzers, one with 26 individual particle detectors and the other with 5 current collectors.",yes
spase://SMWG/Instrument/Pioneer11/Ephemeris,Pioneer 11,Ephemeris,Pioneer11 Positions,Pioneer11 Positions,Platform: Pioneer11 spacecraft positions,yes
spase://SMWG/Instrument/PioneerVenusOrbiter/OMAG,Pioneer Venus Orbiter,OMAG,Magnetometer (OMAG),Magnetometer (OMAG),"Magnetometer: This experiment used a triaxial fluxgate magnetometer with two ring-core sensors at the end of a magnetometer boom and one ring-core sensor, at 45 degrees to the spin axis, halfway down the boom.",yes
spase://SMWG/Instrument/PioneerVenusOrbiter/ORPA,Pioneer Venus Orbiter,ORPA,Retarding Potential Analyzer (ORPA),Retarding Potential Analyzer (ORPA),"LangmuirProbe: This investigation used a Langmuir-probe retarding-potential analyzer designed to measure electron concentration and temperature, major ion concentrations and temperatures, ion drift velocities, and the energy distribution function of ambient photoelectrons.",yes
spase://SMWG/Instrument/PioneerVenusOrbiter/Ephemeris,Pioneer Venus Orbiter,Ephemeris,PVO Positions,PVO Positions,Platform: PVO spacecraft positions,yes
spase://SMWG/Instrument/PioneerVenusOrbiter/OPA,Pioneer Venus Orbiter,OPA,Solar Wind Plasma Analyzer (OPA),Solar Wind Plasma Analyzer (OPA),"ElectrostaticAnalyser: The instrument for this experiment was a quadrispherical electrostatic analyzer (similar to the plasma instrument on Pioneers 10 and 11), with five current collectors and electrometers.",yes
spase://SMWG/Instrument/POLAR/HYDRA,POLAR,HYDRA,Hot Plasma Analyzer (Hydra),Hot Plasma Analyzer (Hydra),"ElectrostaticAnalyser: The objectives of this investigation are (1) to observe the expected kinetic and magnetohydrodynamic signatures of magnetic reconnection in the cusp region, to quantify the energy released to the plasma and the rate of mass flux into the magnetosphere implied, and to understand what external parameters control the rates of reconnection of magnetic flux; (2) to understand the role of field-aligned currents in the auroral zone, their relation to auroral forms and terrestrial kilometric radiation, and their response to magnetotail and solar wind stimuli as monitored by the other ISTP program spacecraft; to ascertain the altitude dependence of the associated electrical potential and the parameters which control its size; and (3) to obtain a quantitative, high time resolution definition of the regions associated with the cusp and entry layer including a study of the momentum transfer between magnetosheath and entry layer plasmas.",yes
spase://SMWG/Instrument/POLAR/EFI,POLAR,EFI,Electric Fields Investigation (EFI),Electric Fields Investigation (EFI),"DoubleSphere: The objectives of this investigation are to study (1) large parallel and perpendicular electric fields in double layers and electrostatic shocks, (2) larger spatial-scale parallel electric fields responsible for upgoing ions and inverted-V electron acceleration, (3) the high latitude convection electric field, (4) the electric field structure of the high latitude magnetosphere, polar cusp, and plasma mantle, and (5) the electric field comparisons (with other spacecraft in the ISTP program) at different points along the same magnetic field line, at different points along a common boundary, or in different regions of the magnetosphere.",yes
spase://SMWG/Instrument/POLAR/Ephemeris,POLAR,Ephemeris,POLAR Orbit,POLAR Orbit,Platform: Polar orbit data,yes
spase://SMWG/Instrument/POLAR/CAMMICE,POLAR,CAMMICE,Charge and Mass Magnetospheric Ion Composition Experiment (CAMMICE),Charge and Mass Magnetospheric Ion Composition Experiment (CAMMICE),"EnergeticParticleInstrument: The objectives of this investigation, CAMMICE (charge and mass magnetospheric ion composition experiment), are the unambiguous determination of the composition of the earth's plasma populations, their original sources, and the mechanisms acting to energize and transport these populations within the closely coupled magnetosphere/ionosphere and magnetosphere/solar-wind systems, and in the two major geospace energy storage reservoirs: the near-earth plasma sheet and the ring current.",yes
spase://SMWG/Instrument/POLAR/PWI,POLAR,PWI,Polar Plasma Waves Investigation (PWI),Polar Plasma Waves Investigation (PWI),"WaveformReceiver: The objectives of this investigation are to measure the spectrum, amplitude, and wave vector characteristics for naturally occurring electromagnetic and electrostatic plasma waves along the ISTP/POLAR trajectory for frequency ranges of 1 Hz to 400 kHz (magnetic), 1 Hz to 3.",yes
spase://SMWG/Instrument/POLAR/TIDE,POLAR,TIDE,Thermal Ion Dynamics Experiment (TIDE),Thermal Ion Dynamics Experiment (TIDE),"EnergeticParticleInstrument: This investigation, TIDE (thermal ion dynamics experiment), is designed to study the origin, transport, energization, storage, and loss of low energy ions in the earth's magnetosphere.",yes
spase://SMWG/Instrument/POLAR/TIMAS,POLAR,TIMAS,Toroidal Imaging Mass-Angle Spectrograph (TIMAS),Toroidal Imaging Mass-Angle Spectrograph (TIMAS),"EnergeticParticleInstrument: This investigation onboard POLAR spacecraft utilizes a toroidal ion mass spectrograph (TIMS) to fulfill its objectives, which are to study (1) the properties, location, and morphology of the principal source region for the entry of solar wind plasma into the magnetosphere, i.",yes
spase://SMWG/Instrument/POLAR/CAMMICE-MICS,POLAR,CAMMICE-MICS,Magnetospheric Ion Composition Sensor (MICS) from the Charge and Mass Magnetospheric Ion Composition Experiment (CAMMICE) suite,Charge and Mass Magnetospheric Ion Composition Experiment (CAMMICE),"EnergeticParticleInstrument: The CAMMICE-MICS results include the ion charge state, mass, and incident energy between ~1keV/e to 420keV/e.",yes
spase://SMWG/Instrument/POLAR/CEPPAD,POLAR,CEPPAD,Comprehensive Energetic-Particle Pitch-Angle Distribution (CEPPAD),Comprehensive Energetic-Particle Pitch-Angle Distribution (CEPPAD),"ElectrostaticAnalyser: This investigation, CEPPAD (comprehensive energetic particle pitch angle distribution), is designed to provide detailed pitch angle measurements of energetic particle fluxes, to cover the particle energy spectra over as wide a range as possible with statistically meaningful results, to separately identify ions and electrons, and to give information on high energy ion composition.",yes
spase://SMWG/Instrument/POLAR/MFE,POLAR,MFE,POLAR Magnetic Fields Experiment (MFE),POLAR Magnetic Fields Experiment (MFE),"Magnetometer: The Magnetic Field Experiment (MFE) on the POLAR spacecraft is designed to measure the vector magnetic field at the spacecraft location in three ranges: plus to minus 700 nanoTesla (nT), 5700 nT, and 47000 nT.",yes
spase://SMWG/Instrument/POLAR/UVI,POLAR,UVI,Ultraviolet Imager (UVI),Ultraviolet Imager (UVI),"Imager: The ultraviolet imager is an ultraviolet imaging camera designed to obtain global images of the aurora at several selected wavelengths with a time resolution of 60 s, a spatial resolution of 10 km at a spacecraft altitude of 9 RE, and sensitivities of 100-300 rayleighs per count in each pixel.",yes
spase://SMWG/Instrument/POLAR/VIS,POLAR,VIS,Visible Imaging System (VIS),Visible Imaging System (VIS),Imager: This investigation is designed to obtain high time- and spatial-resolution images of the nighttime polar and auroral emissions at visible wavelengths.,yes
spase://SMWG/Instrument/ParkerSolarProbe/Ephemeris,Parker Solar Probe,Ephemeris,PSP Spacecraft Ephemeris Instrument,Ephemeris,Platform: Parker Solar Probe Spacecraft Ephemeris,yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/MAG,Parker Solar Probe,MAG,"Parker Solar Probe, PSP, FIELDS Suite, Magnetometer, MAG, Instrument",FIELDS,"Magnetometer: The two fluxgate magnetometers, MAGs, for PSP are similar to the triaxial, wide-range, low-power, and low-noise magnetometers built by Goddard Space Flight Center, GSFC, for MAVEN, Van Allen Probes, STEREO, etc.",yes
spase://SMWG/Instrument/ParkerSolarProbe/SWEAP/SPC,Parker Solar Probe,SPC,"Parker Solar Probe, PSP, Solar Wind Electrons Alphas and Protons, SWEAP, Suite, Solar Probe Cup, SPC, Instrument",SWEAP,"FaradayCup: The PSP SWEAP instrument consists of the Solar Probe Cup, SPC, a Sun-viewing fast Faraday Cup designed to operate under extreme temperatures, and the Solar Probe Analyzers, SPAN, a combination of three electrostatic analyzers, ESAs, that make detailed measurements of ion and electron velocity distributions from the shadowed region behind the spacecraft heat shield.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/DFB,Parker Solar Probe,DFB,"Parker Solar Probe, PSP, FIELDS Suite, Digital Fields Board, DFB, Instrument",FIELDS,"Platform: The Parker Solar Probe, PSP, Digital Fields Board, DFB, is responsible for conditioning, digitization, and processing signals from the five voltage sensors and four search coil magnetometers, SCM, over a frequency range from DC to approximately 60 kHz, as well as production of a calibration signal delivered to the SCM.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V1,Parker Solar Probe,V1,"Parker Solar Probe, PSP, FIELDS Suite, V1 Voltage Probe, V1, Instrument",FIELDS,"Antenna: The FIELDS instrument combines magnetic and electric field measurements into a single, coordinated experiment.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V2,Parker Solar Probe,V2,"Parker Solar Probe, PSP, FIELDS Suite, V2 Voltage Probe, V2, Instrument",FIELDS,"Antenna: The FIELDS instrument combines magnetic and electric field measurements into a single, coordinated experiment.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V3,Parker Solar Probe,V3,"Parker Solar Probe, PSP, FIELDS Suite, V3 Voltage Probe, V3, Instrument",FIELDS,"Antenna: The FIELDS instrument combines magnetic and electric field measurements into a single, coordinated experiment.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V4,Parker Solar Probe,V4,"Parker Solar Probe, PSP, FIELDS Suite, V4 Voltage Probe, V4, Instrument",FIELDS,"Antenna: The FIELDS instrument combines magnetic and electric field measurements into a single, coordinated experiment.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/SCM,Parker Solar Probe,SCM,"Parker Solar Probe, PSP, FIELDS Suite, Search Coil Magnetometer, SCM, Instrument",FIELDS,"SearchCoil: The FIELDS search coil magnetometer, SCM, is mounted at the end of the Parker Solar Probe, PSP, instrument boom.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/V5,Parker Solar Probe,V5,"Parker Solar Probe, PSP, FIELDS Suite, V5 Voltage Probe, V5, Instrument",FIELDS,"Antenna: The FIELDS instrument combines magnetic and electric field measurements into a single, coordinated experiment.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS,Parker Solar Probe,FIELDS,PSP FIELDS Instrument,FIELDS,"Antenna: The Fields instrument is designed to make in-situ measurements of magnetic fields, electric fields, plasma wave spectra and polarization properties, plasma density, electron temperature, Poynting flux, spacecraft floating potential, and solar radio emissions, with the overall objective of measuring the plasma, fields, and energetic particle environment of the inner heliosphere to study the mechanisms of coronal heating and the relationship to the coronal magnetic field.",yes
spase://SMWG/Instrument/ParkerSolarProbe/FIELDS/FIELDS2/TDS,Parker Solar Probe,TDS,"Parker Solar Probe, PSP, FIELDS Suite, FIELDS2 Time Domain Sampler, FIELDS2 TDS, Instrument",FIELDS,"ParticleCorrelator: In order to increase overall mission reliability, the FIELDS instrument was split into two parts, FIELDS1 and FIELDS2.",yes
